state_fips,state,edu_staff_total,year
1,ALABAMA,71628.43,2015
2,ALASKA,16982.39,2015
4,ARIZONA,103174.6,2015
5,ARKANSAS,73658.2,2015
6,CALIFORNIA,577836.1,2015
8,COLORADO,111939.2,2015
9,CONNECTICUT,98179.14,2015
10,DELAWARE,17097.49,2015
11,DISTRICT OF COLUMBIA,14105.93,2015
12,FLORIDA,345644.6,2015
13,GEORGIA,224487.7,2015
15,HAWAII,22596.3,2015
16,IDAHO,27186.26,2015
17,ILLINOIS,260462.8,2015
18,INDIANA,152826.2,2015
19,IOWA,72886.63,2015
20,KANSAS,73271.51,2015
21,KENTUCKY,97711.8,2015
22,LOUISIANA,107599.9,2015
23,MAINE,35241.1,2015
24,MARYLAND,116972.8,2015
25,MASSACHUSETTS,128290.8,2015
26,MICHIGAN,181467.7,2015
27,MINNESOTA,117236.4,2015
28,MISSISSIPPI,67757.05,2015
29,MISSOURI,128938.1,2015
30,MONTANA,21329.5,2015
31,NEBRASKA,47291.81,2015
32,NEVADA,26429.51,2015
33,NEW HAMPSHIRE,31980.4,2015
34,NEW JERSEY,236558.3,2015
35,NEW MEXICO,37572.54,2015
36,NEW YORK,372692.5,2015
37,NORTH CAROLINA,190855.0,2015
38,NORTH DAKOTA,17983.32,2015
39,OHIO,322611.2,2015
40,OKLAHOMA,85914.69,2015
41,OREGON,65927.7,2015
42,PENNSYLVANIA,241547.6,2015
44,RHODE ISLAND,19482.81,2015
45,SOUTH CAROLINA,78107.8,2015
46,SOUTH DAKOTA,19543.17,2015
47,TENNESSEE,128468.5,2015
48,TEXAS,690077.3,2015
49,UTAH,56145.98,2015
50,VERMONT,18183.12,2015
51,VIRGINIA,178550.5,2015
53,WASHINGTON,94882.75,2015
54,WEST VIRGINIA,38452.22,2015
55,WISCONSIN,101249.6,2015
56,WYOMING,17268.52,2015
59,BUREAU OF INDIAN EDUCATION,-1.0,2015
60,AMERICAN SAMOA,-1.0,2015
63,DEPARTMENT OF DEFENSE EDUCATION ACTIVITY,-1.0,2015
66,GUAM,4019.0,2015
