year,state_abbr,state,population,violent_crime,homicide,robbery,aggravated_assault,property_crime,burglary,larceny,motor_vehicle_theft,violent_crime_rate,property_crime_rate,homicide_rate,robbery_rate,aggravated_assault_rate,edu_staff_total
2015,AK,ALASKA,737709,5391,59,761,3671,20806,3511,15249,2046,730.7759563730415,2820.353282934057,7.99773352365228,103.15720697456588,497.6216909377546,16982.39
2015,AL,ALABAMA,4853875,22957,348,4612,15960,144785,35265,99182,10338,472.96232391645856,2982.8745074811363,7.169529499626587,95.01686796631556,328.80945636218485,71628.43
2015,AR,ARKANSAS,2977853,15769,189,2117,11455,97391,22851,68720,5820,529.542593271058,3270.5106665775647,6.3468545962477,71.09148772622423,384.6731185186106,73658.2
2015,AZ,ARIZONA,6817565,27968,306,6360,18193,207184,38010,152388,16786,410.2344458762036,3038.9735924776664,4.488406051134093,93.28843949415958,266.8548081316423,103174.6
2015,CA,CALIFORNIA,38993940,166883,1861,52862,99349,1024914,197404,656517,170993,427.9716284120045,2628.39302722423,4.772536450535648,135.56465440527427,254.7806146288372,577836.1
2015,CO,COLORADO,5448819,17348,173,3315,10532,144044,23490,104532,16022,318.3809188743469,2643.5820312621872,3.174999940354047,60.83887168944316,193.2895917445597,111939.2
2015,CT,CONNECTICUT,3584730,7938,116,2925,4099,65610,10286,48898,6426,221.4392715769389,1830.2633671155152,3.2359480351379326,81.59610347222804,114.346129276124,98179.14
2015,DC,DISTRICT OF COLUMBIA,670377,8538,162,3746,4136,31444,2971,25208,3265,1273.6117140057013,4690.495049800336,24.16550687150663,558.7900539547151,616.9662742009347,14105.93
2015,DE,DELAWARE,944076,4760,62,1240,3097,25545,4797,19555,1193,504.1966960287096,2705.8202941288623,6.567267889449579,131.34535778899155,328.0456234455701,17097.49
2015,FL,FLORIDA,20244914,93625,1041,21137,63895,570270,109268,420341,40661,462.4618311542346,2816.8556309994697,5.142032216091409,104.40646969406735,315.6101329943906,345644.6
2015,GA,GEORGIA,10199398,38891,622,12545,22467,316013,68149,220715,27149,381.3068183043744,3098.3495300408904,6.098399140812036,122.99745534001124,220.27770658621225,224487.7
2015,HI,HAWAII,1431603,4201,19,1085,1878,45389,6810,33140,5439,293.4472755365838,3170.5018779647708,1.327183583716994,75.78916780699677,131.18161948529027,22596.3
2015,IA,IOWA,3121997,8619,73,1050,6291,64688,14977,45328,4383,276.0732953939417,2072.007115958151,2.338246961800412,33.632319313567564,201.50563885871767,72886.63
2015,ID,IDAHO,1652828,3593,32,191,2667,28912,6124,20916,1872,217.38499105775077,1749.2443254833534,1.9360756231138387,11.555951375460726,161.35980271389403,27186.26
2015,IL,ILLINOIS,12839047,49755,754,15056,29019,256962,46846,192424,17692,387.5287628435351,2001.4102292794785,5.87271002279219,117.26727069384512,226.0214484766665,260462.8
2015,IN,INDIANA,6612768,25373,370,7081,15536,171878,34404,123940,13534,383.6971144307497,2599.1838818479646,5.595236366979758,107.08072625563152,234.93943837134464,152826.2
2015,KS,KANSAS,2906721,11483,126,1823,7850,80059,15619,57435,7005,395.0499549148336,2754.271909825539,4.33478135672464,62.716717565944585,270.06375912927314,73271.51
2015,KY,KENTUCKY,4424611,9887,219,3314,4710,97545,22526,67143,7876,223.45467206043648,2204.6005852265885,4.94958765866649,74.8992397297751,106.4500359466629,97711.8
2015,LA,LOUISIANA,4668960,25202,492,5561,17416,157708,35457,112520,9731,539.7775950104519,3377.797196806141,10.537678626503546,119.10575374387444,373.0166889414345,107599.9
2015,MA,MASSACHUSETTS,6784240,26453,131,5266,18974,114547,21826,84676,8045,389.9183991132389,1688.4278858059265,1.930945839180218,77.62107472612998,279.67760574507975,128290.8
2015,MD,MARYLAND,5994983,28185,538,10111,15819,142547,26432,102701,13414,470.1431180038376,2377.7715466415834,8.97417056895741,168.6576926073018,263.87063983334065,116972.8
2015,ME,MAINE,1329453,1726,23,311,931,24361,4694,18853,814,129.8278314464671,1832.4077646972105,1.7300348338752856,23.393079710226687,70.02880131903873,35241.1
2015,MI,MICHIGAN,9917715,41712,585,7818,26599,191191,40375,132019,18797,420.58074869060056,1927.7726774766163,5.898536104334517,78.82864147638846,268.19685784477576,181467.7
2015,MN,MINNESOTA,5482435,13319,133,3771,7094,121984,19299,94704,7981,242.93949677469956,2224.996739587428,2.4259293543835905,68.78330522842496,129.3950589473473,117236.4
2015,MO,MISSOURI,6076204,30292,503,6383,20833,173788,34029,122749,17010,498.5349405648658,2860.1409695922,8.278194741322048,105.04913923232333,342.86208955459693,128938.1
2015,MS,MISSISSIPPI,2989390,8190,253,2312,4467,85785,25068,56446,4271,273.96893680650567,2869.648991934809,8.463265080835889,77.34019314977303,149.4284787197388,67757.05
2015,MT,MONTANA,1032073,3647,38,210,2827,27276,3887,20966,2423,353.3664769837017,2642.836310997381,3.681910097444657,20.347397906931,273.9147327756855,21329.5
2015,NC,NORTH CAROLINA,10035186,34734,517,8821,22805,275915,74760,187732,13423,346.1221346569959,2749.4756948202057,5.151872620995764,87.90071255281168,227.25039675398145,190855.0
2015,ND,NORTH DAKOTA,756835,1949,21,159,1378,17716,3296,12686,1734,257.51980286323965,2340.8008350565183,2.7747131144833417,21.00854215251673,182.07403198847837,17983.32
2015,NE,NEBRASKA,1893765,5167,62,994,3226,42597,6443,32148,4006,272.8427233579668,2249.3287181883707,3.2739014608465147,52.48803309808768,170.3484856885622,47291.81
2015,NH,NEW HAMPSHIRE,1330111,2692,15,475,1558,23453,3482,19076,895,202.3891239152221,1763.2363013312422,1.1277254304340014,35.711305297076706,117.1330813744116,31980.4
